Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00-05:00,17.22162344136403,17.498950564550352,17.10444140854611,17.483325958251953,1734975,0.066667,0.0
2010-01-05 00:00:00-05:00,17.436457040224784,17.89736708660491,17.424739840544113,17.881742477416992,1419075,0.0,0.0
2010-01-06 00:00:00-05:00,17.834873476221176,18.080953152063017,17.760659502961143,18.010644912719727,888525,0.0,0.0
2010-01-07 00:00:00-05:00,17.91689818225435,18.092667918816325,17.752845645865637,18.006736755371094,1296225,0.0,0.0
2010-01-08 00:00:00-05:00,17.963781008715962,18.049713899498776,17.858317763093286,18.002840042114258,1071900,0.0,0.0
2010-01-11 00:00:00-05:00,18.170796492905527,18.26454083656455,17.96377745461167,18.030179977416992,969525,0.0,0.0
2010-01-12 00:00:00-05:00,17.897367549605537,18.25281442665318,17.897367549605537,18.073137283325195,1168650,0.0,0.0
2010-01-13 00:00:00-05:00,18.178601764475808,18.295782154094912,18.00283034190689,18.229379653930664,1151325,0.0,0.0
2010-01-14 00:00:00-05:00,18.120016941622175,18.272350648102222,18.057520159427806,18.233291625976562,1016325,0.0,0.0
2010-01-15 00:00:00-05:00,18.190323152753287,18.190323152753287,17.967679543600763,18.045799255371094,1131750,0.0,0.0
2010-01-19 00:00:00-05:00,18.02627252270346,18.49499423986765,18.02627252270346,18.327035903930664,1055475,0.0,0.0
2010-01-20 00:00:00-05:00,18.155165108416096,18.260628293855163,18.02626584579951,18.17078971862793,1056150,0.0,0.0
2010-01-21 00:00:00-05:00,18.213755247830353,18.311406970510365,17.702067261365325,17.788000106811523,1629450,0.0,0.0
2010-01-22 00:00:00-05:00,17.729407393695016,17.81534023100079,17.13178829467684,17.280216217041016,1940400,0.0,0.0
2010-01-25 00:00:00-05:00,17.467706307195716,17.83877610898791,17.467706307195716,17.69425392150879,1313550,0.0,0.0
2010-01-26 00:00:00-05:00,17.5965973086625,17.9051719107592,17.4676997785906,17.514570236206055,1118925,0.0,0.0
2010-01-27 00:00:00-05:00,17.514573504101147,17.928611322853676,17.45598416394034,17.885644912719727,1153575,0.0,0.0
2010-01-28 00:00:00-05:00,17.881739116368106,17.96767193632919,17.502856244088857,17.64347267150879,841500,0.0,0.0
2010-01-29 00:00:00-05:00,17.69816241838668,17.975489636937432,17.514579517302064,17.53801727294922,994275,0.0,0.0
2010-02-01 00:00:00-05:00,17.686444877448363,18.010645955518555,17.63176124688656,17.748943328857422,906525,0.0,0.0
2010-02-02 00:00:00-05:00,17.846593403658492,18.0536107236639,17.698163772129895,18.045799255371094,906750,0.0,0.0
2010-02-03 00:00:00-05:00,17.89737193421434,18.010646609877043,17.674728317173713,17.741130828857422,842400,0.0,0.0
2010-02-04 00:00:00-05:00,17.580985660574942,18.084862309391223,17.268505096435547,17.268505096435547,2167425,0.0,0.0
2010-02-05 00:00:00-05:00,17.248966179683126,17.36614654256955,16.666968421687056,17.22162437438965,1950975,0.0,0.0
2010-02-08 00:00:00-05:00,17.467708860796733,17.666914695287016,17.131790609036514,17.202098846435547,2055825,0.0,0.0
2010-02-09 00:00:00-05:00,17.42083114512844,17.59269680466828,16.95992113277012,17.295839309692383,1892700,0.0,0.0
2010-02-10 00:00:00-05:00,17.213813275550777,17.631756898825767,17.07710255657892,17.33099365234375,1346850,0.0,0.0
2010-02-11 00:00:00-05:00,17.373960012365472,17.475515779823077,17.06147956737878,17.397396087646484,2922075,0.0,0.0
